,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15
0,0.31605392694473267,0.3267156779766083,0.3584558963775635,0.38382354378700256,0.3962009847164154,0.4131127595901489,0.48676469922065735,0.4517156779766083,0.46078431606292725,0.4678921699523926,0.5143382549285889,0.4518382251262665,0.47598040103912354,0.4955882430076599,0.4948529303073883
1,0.5458333492279053,0.5372549295425415,0.5284313559532166,0.5634803771972656,0.5862745046615601,0.5974264740943909,0.6112744808197021,0.6120098233222961,0.5997549295425415,0.6023284196853638,0.6234068870544434,0.6161764860153198,0.6094362735748291,0.6232843399047852,0.6261029243469238
2,0.5939950942993164,0.5879902243614197,0.591911792755127,0.6117647290229797,0.623039186000824,0.6325980424880981,0.6442402005195618,0.6401960849761963,0.6327205896377563,0.6392157077789307,0.65625,0.6485294103622437,0.6479166746139526,0.6529411673545837,0.6591911911964417
3,0.6166666746139526,0.601838231086731,0.6113970875740051,0.6351715922355652,0.6415441036224365,0.6479166746139526,0.6674019694328308,0.6610293984413147,0.6587010025978088,0.6600490212440491,0.6734068393707275,0.6710784435272217,0.6741421818733215,0.6772058606147766,0.6843137145042419
4,0.634313702583313,0.6186274290084839,0.6339460611343384,0.6492646932601929,0.656862735748291,0.6610293984413147,0.6822304129600525,0.6776960492134094,0.6778186559677124,0.6740196347236633,0.6905637383460999,0.689338207244873,0.6898284554481506,0.6925244927406311,0.701348066329956
5,0.6417891979217529,0.6261029243469238,0.6514706015586853,0.6631127595901489,0.6743872761726379,0.6778186559677124,0.696200966835022,0.688112735748291,0.6919117569923401,0.690073549747467,0.6973039507865906,0.7036764621734619,0.7082107663154602,0.7051470875740051,0.7185049057006836
6,0.6506127715110779,0.63688725233078,0.6670343279838562,0.6737744808197021,0.6845588088035583,0.6859068870544434,0.7071078419685364,0.7008578181266785,0.7042891979217529,0.706250011920929,0.7124999761581421,0.7182598114013672,0.7156862616539001,0.7186274528503418,0.7348039150238037
7,0.6613970398902893,0.646936297416687,0.6812499761581421,0.6797794103622437,0.6986519694328308,0.6926470398902893,0.7150735259056091,0.7110294103622437,0.7158088088035583,0.7178921699523926,0.7197303771972656,0.7311274409294128,0.7310048937797546,0.7263480424880981,0.7464460730552673
8,0.6658087968826294,0.653676450252533,0.686274528503418,0.6876225471496582,0.7053921818733215,0.6979166865348816,0.7236519455909729,0.7203431129455566,0.7221813797950745,0.726838231086731,0.7212010025978088,0.7388480305671692,0.7397058606147766,0.7356617450714111,0.7588235139846802
9,0.6718137264251709,0.6616421341896057,0.6942402124404907,0.6897059082984924,0.7107843160629272,0.7029411792755127,0.7284313440322876,0.7289215922355652,0.728799045085907,0.7344362735748291,0.7322303652763367,0.7454656958580017,0.747426450252533,0.7442402243614197,0.7666666507720947
10,0.6746323704719543,0.66813725233078,0.7015931606292725,0.6963235139846802,0.7158088088035583,0.7147058844566345,0.7337009906768799,0.7299019694328308,0.738725483417511,0.7439950704574585,0.7377451062202454,0.7545343041419983,0.7515931129455566,0.7508578300476074,0.7678921818733215
11,0.6805146932601929,0.6803921461105347,0.7041666507720947,0.7006127238273621,0.7200980186462402,0.7139706015586853,0.7432597875595093,0.7378676533699036,0.7420343160629272,0.7471813559532166,0.7439950704574585,0.7620097994804382,0.7599264979362488,0.7621323466300964,0.7767156958580017
12,0.6850489974021912,0.6833333373069763,0.7110294103622437,0.7025735378265381,0.7235293984413147,0.721323549747467,0.7471813559532166,0.7371323704719543,0.7460784316062927,0.7539215683937073,0.7524510025978088,0.7689951062202454,0.7615196108818054,0.7654411792755127,0.7861519455909729
13,0.6859068870544434,0.6883578300476074,0.7137255072593689,0.7084558606147766,0.7283087968826294,0.7256127595901489,0.7531862854957581,0.7452206015586853,0.7498774528503418,0.7545343041419983,0.7551470398902893,0.7759804129600525,0.7689951062202454,0.7718137502670288,0.7895833253860474
14,0.6906862854957581,0.6933823823928833,0.7158088088035583,0.7133578658103943,0.7371323704719543,0.7321078181266785,0.7591911554336548,0.7537990212440491,0.7546568512916565,0.7582107782363892,0.7607843279838562,0.7784313559532166,0.7773284316062927,0.7770833373069763,0.7960784435272217
15,0.6920343041419983,0.696813702583313,0.7156862616539001,0.7134804129600525,0.7410539388656616,0.7359068393707275,0.7621323466300964,0.7556372284889221,0.7545343041419983,0.7658088207244873,0.7678921818733215,0.7861519455909729,0.7774509787559509,0.7799019813537598,0.7980391979217529
16,0.6947304010391235,0.6973039507865906,0.7202205657958984,0.7162989974021912,0.7415441274642944,0.741911768913269,0.7648284435272217,0.7584558725357056,0.759313702583313,0.7677696347236633,0.7707107663154602,0.792524516582489,0.7825980186462402,0.7860293984413147,0.8026960492134094
17,0.6977941393852234,0.7020833492279053,0.720710813999176,0.7191176414489746,0.7485294342041016,0.7446078658103943,0.7689951062202454,0.7675244808197021,0.7654411792755127,0.7707107663154602,0.7721813917160034,0.8003676533699036,0.7890931367874146,0.7875000238418579,0.810539186000824
18,0.7001225352287292,0.704901933670044,0.7264705896377563,0.7215686440467834,0.7504901885986328,0.7446078658103943,0.7751225233078003,0.7639706134796143,0.7681372761726379,0.7735294103622437,0.7840686440467834,0.8011029362678528,0.791911780834198,0.7988970875740051,0.8095588088035583
19,0.7022058963775635,0.7090686559677124,0.7292892336845398,0.7252451181411743,0.7513480186462402,0.750612735748291,0.7747548818588257,0.7730392217636108,0.7715686559677124,0.7799019813537598,0.7825980186462402,0.8028186559677124,0.7930147051811218,0.7952206134796143,0.8125
20,0.7034313678741455,0.7067402005195618,0.7261029481887817,0.7275735139846802,0.7546568512916565,0.7502450942993164,0.7781862616539001,0.7773284316062927,0.772549033164978,0.7808823585510254,0.7856617569923401,0.8095588088035583,0.801225483417511,0.7991421818733215,0.8170343041419983
21,0.7067402005195618,0.7120097875595093,0.7286764979362488,0.7313725352287292,0.7590686082839966,0.7583333253860474,0.7807598114013672,0.779411792755127,0.7748774290084839,0.7859068512916565,0.7947303652763367,0.8104166388511658,0.8033088445663452,0.8045343160629272,0.8175244927406311
