,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15
0,0.45588234066963196,0.47598040103912354,0.47549018263816833,0.5156862735748291,0.5563725233078003,0.5573529601097107,0.5759803652763367,0.5779411792755127,0.5671568512916565,0.5730392336845398,0.6019607782363892,0.5789215564727783,0.5852941274642944,0.6083333492279053,0.6000000238418579
1,0.5656862854957581,0.5622549057006836,0.5676470398902893,0.6063725352287292,0.6122549176216125,0.6240196228027344,0.6284313797950745,0.6274510025978088,0.6132352948188782,0.6215686202049255,0.6446078419685364,0.6357843279838562,0.6382352709770203,0.6529411673545837,0.6446078419685364
2,0.6034313440322876,0.579901933670044,0.593137264251709,0.6303921341896057,0.6225489974021912,0.645588219165802,0.6490195989608765,0.636274516582489,0.6328431367874146,0.6387255191802979,0.6583333611488342,0.6514706015586853,0.6607843041419983,0.6490195989608765,0.6647058725357056
3,0.6225489974021912,0.5960784554481506,0.6161764860153198,0.6397058963775635,0.6470588445663452,0.6514706015586853,0.6676470637321472,0.6651960611343384,0.6524509787559509,0.6656862497329712,0.6696078181266785,0.6720588207244873,0.6769607663154602,0.6715686321258545,0.6813725233078003
4,0.6313725709915161,0.6083333492279053,0.6387255191802979,0.6602941155433655,0.6509804129600525,0.6607843041419983,0.6813725233078003,0.6671568751335144,0.6710784435272217,0.6735293865203857,0.6872549057006836,0.6960784196853638,0.6990196108818054,0.7009803652763367,0.7034313678741455
5,0.6460784077644348,0.6210784316062927,0.6519607901573181,0.6661764979362488,0.6691176295280457,0.6764705777168274,0.7039215564727783,0.6848039031028748,0.6877450942993164,0.677450954914093,0.6960784196853638,0.6946078538894653,0.6892156600952148,0.7073529362678528,0.7083333134651184
6,0.6450980305671692,0.6323529481887817,0.6583333611488342,0.6651960611343384,0.679411768913269,0.6754902005195618,0.697549045085907,0.6946078538894653,0.7044117450714111,0.7073529362678528,0.7112745046615601,0.7132353186607361,0.7200980186462402,0.7093137502670288,0.7269607782363892
7,0.6573529243469238,0.6465686559677124,0.6754902005195618,0.6710784435272217,0.6789215803146362,0.6833333373069763,0.7053921818733215,0.6995097994804382,0.7151960730552673,0.7147058844566345,0.7009803652763367,0.7215686440467834,0.727450966835022,0.7250000238418579,0.7431372404098511
8,0.6509804129600525,0.6529411673545837,0.6838235259056091,0.6779412031173706,0.6911764740943909,0.6867647171020508,0.7142156958580017,0.7142156958580017,0.716176450252533,0.7210784554481506,0.7240195870399475,0.7333333492279053,0.7186274528503418,0.7308823466300964,0.7372549176216125
9,0.6539215445518494,0.658823549747467,0.6877450942993164,0.688725471496582,0.6970587968826294,0.7044117450714111,0.7225490212440491,0.718137264251709,0.7254902124404907,0.7279411554336548,0.7098039388656616,0.740686297416687,0.7289215922355652,0.740686297416687,0.7504901885986328
10,0.6710784435272217,0.6710784435272217,0.6941176652908325,0.6936274766921997,0.697549045085907,0.7093137502670288,0.7421568632125854,0.7240195870399475,0.7323529124259949,0.7352941036224365,0.7279411554336548,0.7392156720161438,0.7460784316062927,0.7455882430076599,0.7504901885986328
11,0.677450954914093,0.6838235259056091,0.6813725233078003,0.6985294222831726,0.7029411792755127,0.7083333134651184,0.7367647290229797,0.7220588326454163,0.7333333492279053,0.7392156720161438,0.7308823466300964,0.7583333253860474,0.7465686202049255,0.7455882430076599,0.770588219165802
12,0.6897059082984924,0.6818627715110779,0.6892156600952148,0.7004901766777039,0.7044117450714111,0.7029411792755127,0.7338235378265381,0.7289215922355652,0.7352941036224365,0.7455882430076599,0.7313725352287292,0.7524510025978088,0.761274516582489,0.7583333253860474,0.7730392217636108
13,0.6852940917015076,0.6848039031028748,0.6960784196853638,0.6965686082839966,0.7147058844566345,0.7132353186607361,0.7421568632125854,0.7367647290229797,0.7421568632125854,0.75,0.7426470518112183,0.7656862735748291,0.7617647051811218,0.7627450823783875,0.7720588445663452
14,0.6892156600952148,0.6901960968971252,0.704901933670044,0.7088235020637512,0.716176450252533,0.7240195870399475,0.7509803771972656,0.7431372404098511,0.7357842922210693,0.748039186000824,0.7455882430076599,0.7622548937797546,0.7460784316062927,0.7622548937797546,0.7754902243614197
15,0.6901960968971252,0.6872549057006836,0.7117646932601929,0.7117646932601929,0.7127450704574585,0.7220588326454163,0.7529411911964417,0.7495098114013672,0.7436274290084839,0.7549019455909729,0.7490196228027344,0.7745097875595093,0.7544117569923401,0.7686274647712708,0.781862735748291
